,Date,season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,B365H,B365D,B365A,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HomeTeamLP,AwayTeamLP,gameId,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
4560,2019-08-09,1920,Liverpool,Norwich,4.0,1.0,H,0.0,0.0,0.0,0.0,0,0,1.14,10.0,19.0,M,M,M,M,M,M,M,M,M,M,1,4,18,4561,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4561,2019-08-10,1920,West Ham,Man City,0.0,5.0,A,0.0,0.0,0.0,0.0,0,0,12.0,6.5,1.22,M,M,M,M,M,M,M,M,M,M,1,18,1,4562,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4562,2019-08-10,1920,Bournemouth,Sheffield United,1.0,1.0,D,0.0,0.0,0.0,0.0,0,0,1.95,3.6,3.6,M,M,M,M,M,M,M,M,M,M,1,12,18,4563,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4563,2019-08-10,1920,Burnley,Southampton,3.0,0.0,H,0.0,0.0,0.0,0.0,0,0,2.62,3.2,2.75,M,M,M,M,M,M,M,M,M,M,1,7,17,4564,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4564,2019-08-10,1920,Crystal Palace,Everton,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,3.0,3.25,2.37,M,M,M,M,M,M,M,M,M,M,1,18,8,4565,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4565,2019-08-10,1920,Watford,Brighton,0.0,3.0,A,0.0,0.0,0.0,0.0,0,0,1.9,3.4,4.0,M,M,M,M,M,M,M,M,M,M,1,14,15,4566,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4566,2019-08-10,1920,Tottenham,Aston Villa,3.0,1.0,H,0.0,0.0,0.0,0.0,0,0,1.3,5.25,10.0,M,M,M,M,M,M,M,M,M,M,1,3,18,4567,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4567,2019-08-11,1920,Leicester,Wolves,0.0,0.0,D,0.0,0.0,0.0,0.0,0,0,2.2,3.2,3.4,M,M,M,M,M,M,M,M,M,M,1,9,18,4568,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4568,2019-08-11,1920,Newcastle,Arsenal,0.0,1.0,A,0.0,0.0,0.0,0.0,0,0,4.5,3.75,1.72,M,M,M,M,M,M,M,M,M,M,1,10,6,4569,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4569,2019-08-11,1920,Man United,Chelsea,4.0,0.0,H,0.0,0.0,0.0,0.0,0,0,2.1,3.3,3.5,M,M,M,M,M,M,M,M,M,M,1,2,5,4570,MMMMM,MMMMM,0,0,0.0,0.0,0,0
4570,2019-08-17,1920,Arsenal,Burnley,2.0,1.0,H,2.0,1.0,1.0,2.0,3,3,1.3,5.5,10.0,W,M,M,M,M,W,M,M,M,M,2,6,7,4571,WMMMM,WMMMM,3,3,1.0,-1.0,0,0
4571,2019-08-17,1920,Aston Villa,Bournemouth,1.0,2.0,A,1.0,2.0,2.0,1.0,0,1,2.3,3.4,3.1,L,M,M,M,M,D,M,M,M,M,2,18,12,4572,LMMMM,DMMMM,0,1,-1.0,1.0,-1,-1
4572,2019-08-17,1920,Brighton,West Ham,1.0,1.0,D,1.0,1.0,1.0,1.0,3,0,2.55,3.25,2.87,W,M,M,M,M,L,M,M,M,M,2,15,18,4573,WMMMM,LMMMM,3,0,0.0,0.0,3,3
4573,2019-08-17,1920,Everton,Watford,1.0,0.0,H,1.0,0.0,0.0,1.0,1,0,1.72,3.8,4.75,D,M,M,M,M,L,M,M,M,M,2,8,14,4574,DMMMM,LMMMM,1,0,1.0,-1.0,1,1
4574,2019-08-17,1920,Norwich,Newcastle,3.0,1.0,H,3.0,1.0,1.0,3.0,0,0,2.25,3.3,3.3,L,M,M,M,M,L,M,M,M,M,2,18,10,4575,LMMMM,LMMMM,0,0,2.0,-2.0,0,0
4575,2019-08-17,1920,Southampton,Liverpool,1.0,2.0,A,1.0,2.0,2.0,1.0,0,3,6.5,4.75,1.44,L,M,M,M,M,W,M,M,M,M,2,17,4,4576,LMMMM,WMMMM,0,3,-1.0,1.0,-3,-3
4576,2019-08-17,1920,Man City,Tottenham,2.0,2.0,D,2.0,2.0,2.0,2.0,3,3,1.36,5.25,8.0,W,M,M,M,M,W,M,M,M,M,2,1,3,4577,WMMMM,WMMMM,3,3,0.0,0.0,0,0
4577,2019-08-18,1920,Sheffield United,Crystal Palace,1.0,0.0,H,1.0,0.0,0.0,1.0,1,1,2.55,3.1,2.9,D,M,M,M,M,D,M,M,M,M,2,18,18,4578,DMMMM,DMMMM,1,1,1.0,-1.0,0,0
4578,2019-08-18,1920,Chelsea,Leicester,1.0,1.0,D,1.0,1.0,1.0,1.0,0,1,1.7,3.75,5.0,L,M,M,M,M,D,M,M,M,M,2,5,9,4579,LMMMM,DMMMM,0,1,0.0,0.0,-1,-1
4579,2019-08-19,1920,Wolves,Man United,1.0,1.0,D,1.0,1.0,1.0,1.0,1,3,3.3,3.3,2.25,D,M,M,M,M,W,M,M,M,M,2,18,2,4580,DMMMM,WMMMM,1,3,0.0,0.0,-2,-2
4580,2019-08-23,1920,Aston Villa,Everton,2.0,0.0,H,3.0,1.0,2.0,2.0,0,4,3.25,3.5,2.15,L,L,M,M,M,W,D,M,M,M,3,18,8,4581,LLMMM,WDMMM,0,4,1.0,-1.0,-4,-4
4581,2019-08-24,1920,Norwich,Chelsea,2.0,3.0,A,5.0,4.0,4.0,3.0,3,1,4.33,3.75,1.8,W,L,M,M,M,D,L,M,M,M,3,18,5,4582,WLMMM,DLMMM,3,1,1.0,1.0,2,2
4582,2019-08-24,1920,Brighton,Southampton,0.0,2.0,A,1.0,3.0,3.0,2.0,4,0,2.4,3.3,3.0,D,W,M,M,M,L,L,M,M,M,3,15,17,4583,DWMMM,LLMMM,4,0,-2.0,1.0,4,4
4583,2019-08-24,1920,Man United,Crystal Palace,1.0,2.0,A,2.0,2.0,3.0,2.0,4,1,1.33,5.25,9.0,D,W,M,M,M,L,D,M,M,M,3,2,18,4584,DWMMM,LDMMM,4,1,-1.0,0.0,3,3
4584,2019-08-24,1920,Sheffield United,Leicester,1.0,2.0,A,2.0,3.0,2.0,2.0,4,2,3.3,3.3,2.25,W,D,M,M,M,D,D,M,M,M,3,18,9,4585,WDMMM,DDMMM,4,2,0.0,1.0,2,2
4585,2019-08-24,1920,Watford,West Ham,1.0,3.0,A,1.0,4.0,4.0,2.0,0,1,2.05,3.5,3.5,L,L,M,M,M,D,L,M,M,M,3,14,18,4586,LLMMM,DLMMM,0,1,-3.0,2.0,-1,-1
4586,2019-08-24,1920,Liverpool,Arsenal,3.0,1.0,H,5.0,3.0,2.0,4.0,6,6,1.5,4.6,6.0,W,W,M,M,M,W,W,M,M,M,3,4,6,4587,WWMMM,WWMMM,6,6,3.0,-1.0,0,0
4587,2019-08-25,1920,Bournemouth,Man City,1.0,3.0,A,3.0,5.0,4.0,3.0,4,4,15.0,7.5,1.16,W,D,M,M,M,D,W,M,M,M,3,12,1,4588,WDMMM,DWMMM,4,4,-1.0,2.0,0,0
4588,2019-08-25,1920,Tottenham,Newcastle,0.0,1.0,A,2.0,2.0,3.0,3.0,4,0,1.2,6.5,14.0,D,W,M,M,M,L,L,M,M,M,3,3,10,4589,DWMMM,LLMMM,4,0,-1.0,-1.0,4,4
4589,2019-08-25,1920,Wolves,Burnley,1.0,1.0,D,2.0,2.0,2.0,3.0,2,3,1.85,3.4,4.5,D,D,M,M,M,L,W,M,M,M,3,18,7,4590,DDMMM,LWMMM,2,3,0.0,-1.0,-1,-1
4590,2019-08-31,1920,Southampton,Man United,1.0,1.0,D,4.0,3.0,3.0,4.0,3,4,3.8,3.3,2.05,W,L,L,M,M,L,D,W,M,M,4,17,2,4591,WLLMM,LDWMM,3,4,1.0,-1.0,-1,-1
4591,2019-08-31,1920,Chelsea,Sheffield United,2.0,2.0,D,6.0,4.0,5.0,4.0,4,4,1.36,4.75,9.0,W,D,L,M,M,L,W,D,M,M,4,5,18,4592,WDLMM,LWDMM,4,4,1.0,0.0,0,0
4592,2019-08-31,1920,Crystal Palace,Aston Villa,1.0,0.0,H,3.0,3.0,2.0,3.0,4,3,2.15,3.3,3.5,W,L,D,M,M,W,L,L,M,M,4,18,18,4593,WLDMM,WLLMM,4,3,1.0,0.0,1,1
4593,2019-08-31,1920,Leicester,Bournemouth,3.0,1.0,H,6.0,4.0,3.0,7.0,5,4,1.7,4.0,4.75,W,D,D,M,M,L,W,D,M,M,4,9,12,4594,WDDMM,LWDMM,5,4,3.0,-3.0,1,1
4594,2019-08-31,1920,Man City,Brighton,4.0,0.0,H,9.0,1.0,3.0,7.0,7,4,1.08,10.0,26.0,W,D,W,M,M,L,D,W,M,M,4,1,15,4595,WDWMM,LDWMM,7,4,6.0,-6.0,3,3
4595,2019-08-31,1920,Newcastle,Watford,1.0,1.0,D,3.0,2.0,4.0,5.0,3,0,2.5,3.25,2.87,W,L,L,M,M,L,L,L,M,M,4,10,14,4596,WLLMM,LLLMM,3,0,-1.0,-3.0,3,3
4596,2019-08-31,1920,West Ham,Norwich,2.0,0.0,H,6.0,5.0,2.0,6.0,4,3,1.85,3.9,3.9,W,D,L,M,M,L,W,L,M,M,4,18,18,4597,WDLMM,LWLMM,4,3,4.0,-1.0,1,1
4597,2019-08-31,1920,Burnley,Liverpool,0.0,3.0,A,2.0,8.0,6.0,2.0,4,9,9.5,5.5,1.3,D,L,W,M,M,W,W,W,M,M,4,7,4,4598,DLWMM,WWWMM,4,9,-4.0,6.0,-5,-5
4598,2019-09-01,1920,Everton,Wolves,3.0,2.0,H,4.0,4.0,4.0,5.0,4,3,2.2,3.25,3.5,L,W,D,M,M,D,D,D,M,M,4,8,18,4599,LWDMM,DDDMM,4,3,0.0,-1.0,1,1
4599,2019-09-01,1920,Arsenal,Tottenham,2.0,2.0,D,5.0,4.0,6.0,5.0,6,4,2.37,3.6,2.8,L,W,W,M,M,L,D,W,M,M,4,6,3,4600,LWWMM,LDWMM,6,4,-1.0,-1.0,2,2
4600,2019-09-14,1920,Liverpool,Newcastle,3.0,1.0,H,11.0,4.0,3.0,7.0,12,4,1.14,8.5,17.0,W,W,W,W,M,D,W,L,L,M,5,4,10,4601,WWWWM,DWLLM,12,4,8.0,-3.0,8,8
4601,2019-09-14,1920,Brighton,Burnley,1.0,1.0,D,2.0,3.0,8.0,7.0,4,4,2.15,3.3,3.5,L,L,D,W,M,L,D,L,W,M,5,15,7,4602,LLDWM,LDLWM,4,4,-6.0,-4.0,0,0
4602,2019-09-14,1920,Man United,Leicester,1.0,0.0,H,4.0,6.0,4.0,4.0,5,8,1.95,3.5,4.0,D,L,D,W,M,W,W,D,D,M,5,2,9,4603,DLDWM,WWDDM,5,8,0.0,2.0,-3,-3
4603,2019-09-14,1920,Sheffield United,Southampton,0.0,1.0,A,4.0,5.0,5.0,3.0,5,4,2.45,3.2,3.0,D,L,W,D,M,D,W,L,L,M,5,18,17,4604,DLWDM,DWLLM,5,4,-1.0,2.0,1,1
4604,2019-09-14,1920,Tottenham,Crystal Palace,4.0,0.0,H,8.0,3.0,5.0,6.0,5,7,1.36,5.25,8.0,D,L,D,W,M,W,W,L,D,M,5,3,18,4605,DLDWM,WWLDM,5,7,3.0,-3.0,-2,-2
4605,2019-09-14,1920,Wolves,Chelsea,2.0,5.0,A,6.0,11.0,10.0,7.0,3,5,2.9,3.3,2.5,L,D,D,D,M,D,W,D,L,M,5,18,5,4606,LDDDM,DWDLM,3,5,-4.0,4.0,-2,-2
4606,2019-09-14,1920,Norwich,Man City,3.0,2.0,H,8.0,11.0,8.0,6.0,3,10,15.0,9.0,1.14,L,L,W,L,M,W,W,D,W,M,5,18,1,4607,LLWLM,WWDWM,3,10,0.0,5.0,-7,-7
4607,2019-09-15,1920,Bournemouth,Everton,3.0,1.0,H,7.0,5.0,8.0,7.0,4,7,2.9,3.5,2.4,L,L,W,D,M,W,L,W,D,M,5,12,8,4608,LLWDM,WLWDM,4,7,-1.0,-2.0,-3,-3
4608,2019-09-15,1920,Watford,Arsenal,2.0,2.0,D,4.0,7.0,7.0,8.0,1,7,3.6,3.6,2.0,D,L,L,L,M,D,L,W,W,M,5,14,6,4609,DLLLM,DLWWM,1,7,-3.0,-1.0,-6,-6
4609,2019-09-16,1920,Aston Villa,West Ham,0.0,0.0,D,3.0,6.0,3.0,2.0,3,7,2.62,3.5,2.6,L,W,L,L,M,W,W,D,L,M,5,18,18,4610,LWLLM,WWDLM,3,7,0.0,4.0,-4,-4
4610,2019-09-20,1920,Southampton,Bournemouth,1.0,3.0,A,6.0,10.0,6.0,9.0,7,7,2.05,3.6,3.5,W,D,W,L,L,W,L,L,W,D,6,17,12,4611,WDWLL,WLLWD,7,7,0.0,1.0,0,0
4611,2019-09-21,1920,Leicester,Tottenham,2.0,1.0,H,8.0,9.0,5.0,7.0,8,8,2.87,3.5,2.37,L,W,W,D,D,W,D,L,D,W,6,9,3,4612,LWWDD,WDLDW,8,8,3.0,2.0,0,0
4612,2019-09-21,1920,Burnley,Norwich,2.0,0.0,H,5.0,8.0,7.0,10.0,5,6,2.0,3.8,3.5,D,L,D,L,W,W,L,L,W,L,6,7,18,4613,DLDLW,WLLWL,5,6,-2.0,-2.0,-1,-1
4613,2019-09-21,1920,Everton,Sheffield United,0.0,2.0,A,5.0,6.0,9.0,5.0,7,5,1.61,3.75,6.0,L,W,L,W,D,L,D,L,W,D,6,8,18,4614,LWLWD,LDLWD,7,5,-4.0,1.0,2,2
4614,2019-09-21,1920,Man City,Watford,8.0,0.0,H,19.0,4.0,6.0,15.0,10,2,1.1,11.0,21.0,L,W,W,D,W,D,D,L,L,L,6,1,14,4615,LWWDW,DDLLL,10,2,13.0,-11.0,8,8
4615,2019-09-21,1920,Newcastle,Brighton,0.0,0.0,D,4.0,2.0,7.0,8.0,4,5,2.5,3.2,3.0,L,D,W,L,L,D,L,L,D,W,6,10,15,4616,LDWLL,DLLDW,4,5,-3.0,-6.0,-1,-1
4616,2019-09-22,1920,Crystal Palace,Wolves,1.0,1.0,D,4.0,7.0,7.0,11.0,7,3,2.62,3.1,2.87,L,W,W,L,D,L,L,D,D,D,6,18,18,4617,LWWLD,LLDDD,7,3,-3.0,-4.0,4,4
4617,2019-09-22,1920,West Ham,Man United,2.0,0.0,H,8.0,4.0,2.0,6.0,8,8,3.1,3.6,2.2,D,W,W,D,L,W,D,L,D,W,6,18,2,4618,DWWDL,WDLDW,8,8,6.0,-2.0,0,0
4618,2019-09-22,1920,Arsenal,Aston Villa,3.0,2.0,H,10.0,5.0,10.0,6.0,8,4,1.4,4.75,8.0,D,D,L,W,W,D,L,W,L,L,6,6,18,4619,DDLWW,DLWLL,8,4,0.0,-1.0,4,4
4619,2019-09-22,1920,Chelsea,Liverpool,1.0,2.0,A,12.0,13.0,9.0,4.0,8,15,3.5,3.75,2.0,W,D,W,D,L,W,W,W,W,W,6,5,4,4620,WDWDL,WWWWW,8,15,3.0,9.0,-7,-7
