,Date,season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,B365H,B365D,B365A,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HomeTeamLP,AwayTeamLP,gameId,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts
4620,2019-09-28,1920,Sheffield United,Liverpool,0.0,1.0,A,6.0,14.0,6.0,4.0,8,18,9.0,5.25,1.33,W,L,D,L,W,W,W,W,W,W,7,18,4,4621,WLDLW,WWWWW,7,15,0.0,10.0,-10,-8
4621,2019-09-28,1920,Aston Villa,Burnley,2.0,2.0,D,7.0,7.0,8.0,9.0,4,8,2.3,3.4,3.1,L,D,L,W,L,W,D,L,D,L,7,18,7,4622,LDLWL,WDLDL,4,5,-1.0,-2.0,-4,-1
4622,2019-09-28,1920,Bournemouth,West Ham,2.0,2.0,D,12.0,10.0,11.0,4.0,10,11,2.5,3.5,2.75,W,W,L,L,W,W,D,W,W,D,7,12,18,4623,WWLLW,WDWWD,9,11,1.0,6.0,-1,-2
4623,2019-09-28,1920,Chelsea,Brighton,2.0,0.0,H,14.0,2.0,9.0,10.0,8,6,1.4,4.75,8.0,L,W,D,W,D,D,D,L,L,D,7,5,15,4624,LWDWD,DDLLD,8,3,5.0,-8.0,2,5
4624,2019-09-28,1920,Crystal Palace,Norwich,2.0,0.0,H,6.0,8.0,7.0,12.0,8,6,1.9,3.75,3.75,D,L,W,W,L,L,W,L,L,W,7,18,18,4625,DLWWL,LWLLW,7,6,-1.0,-4.0,2,1
4625,2019-09-28,1920,Tottenham,Southampton,2.0,1.0,H,11.0,7.0,8.0,8.0,8,7,1.4,4.75,8.0,L,W,D,L,D,L,W,D,W,L,7,3,17,4626,LWDLD,LWDWL,5,7,3.0,-1.0,1,-2
4626,2019-09-28,1920,Wolves,Watford,2.0,0.0,H,9.0,4.0,11.0,17.0,4,2,1.85,3.4,4.5,D,L,L,D,D,L,D,D,L,L,7,18,14,4627,DLLDD,LDDLL,3,2,-2.0,-13.0,2,1
4627,2019-09-28,1920,Everton,Man City,1.0,3.0,A,6.0,22.0,12.0,7.0,7,13,10.0,5.5,1.3,L,L,W,L,W,W,L,W,W,D,7,8,1,4628,LLWLW,WLWWD,6,10,-6.0,15.0,-6,-4
4628,2019-09-29,1920,Leicester,Newcastle,5.0,0.0,H,13.0,4.0,5.0,12.0,11,5,1.5,4.0,7.5,W,L,W,W,D,D,L,D,W,L,7,9,10,4629,WLWWD,DLDWL,10,5,8.0,-8.0,6,5
4629,2019-09-30,1920,Man United,Arsenal,1.0,1.0,D,5.0,11.0,7.0,11.0,8,11,2.37,3.5,2.9,L,W,D,L,D,W,D,D,L,W,7,2,6,4630,LWDLD,WDDLW,5,8,-2.0,0.0,-3,-3
4630,2019-10-05,1920,Brighton,Tottenham,3.0,0.0,H,5.0,11.0,10.0,11.0,6,11,3.9,3.6,1.9,L,D,D,L,L,W,L,W,D,L,8,15,3,4631,LDDLL,WLWDL,2,7,-5.0,0.0,-5,-5
4631,2019-10-05,1920,Burnley,Everton,1.0,0.0,H,8.0,6.0,9.0,13.0,9,7,2.87,3.3,2.5,D,W,D,L,D,L,L,L,W,L,8,7,8,4632,DWDLD,LLLWL,6,3,-1.0,-7.0,2,3
4632,2019-10-05,1920,Liverpool,Leicester,2.0,1.0,H,16.0,14.0,5.0,7.0,21,14,1.44,4.75,7.0,W,W,W,W,W,W,W,L,W,W,8,4,9,4633,WWWWW,WWLWW,15,12,11.0,7.0,7,3
4633,2019-10-05,1920,Norwich,Aston Villa,1.0,5.0,A,9.0,12.0,17.0,9.0,6,5,2.37,3.6,2.8,L,L,W,L,L,D,L,D,L,W,8,18,18,4634,LLWLL,DLDLW,3,5,-8.0,3.0,1,-2
4634,2019-10-05,1920,Watford,Sheffield United,0.0,0.0,D,4.0,6.0,17.0,6.0,2,8,2.05,3.4,3.6,L,L,D,D,L,L,W,L,D,L,8,14,18,4635,LLDDL,LWLDL,2,4,-13.0,0.0,-6,-2
4635,2019-10-05,1920,West Ham,Crystal Palace,1.0,2.0,A,11.0,8.0,6.0,8.0,12,11,1.95,3.6,3.8,D,W,D,W,W,W,D,L,W,W,8,18,18,4636,DWDWW,WDLWW,11,10,5.0,0.0,1,1
4636,2019-10-06,1920,Arsenal,Bournemouth,1.0,0.0,H,12.0,12.0,11.0,12.0,12,11,1.44,4.75,7.0,D,W,D,D,L,D,W,W,L,L,8,6,12,4637,DWDDL,DWWLL,6,7,1.0,0.0,1,-1
4637,2019-10-06,1920,Man City,Wolves,0.0,2.0,A,22.0,11.0,9.0,11.0,16,7,1.12,9.0,21.0,W,W,L,W,W,W,D,L,L,D,8,1,18,4638,WWLWW,WDLLD,12,5,13.0,0.0,9,7
4638,2019-10-06,1920,Southampton,Chelsea,1.0,4.0,A,8.0,18.0,12.0,10.0,7,11,4.0,3.8,1.85,L,L,W,D,W,W,L,W,D,W,8,17,5,4639,LLWDW,WLWDW,7,10,-4.0,8.0,-4,-3
4639,2019-10-06,1920,Newcastle,Man United,1.0,0.0,H,5.0,5.0,12.0,8.0,5,9,4.5,3.5,1.85,L,D,L,D,W,D,L,W,D,L,8,10,2,4640,LDLDW,DLWDL,5,5,-7.0,-3.0,-4,0
4640,2019-10-19,1920,Everton,West Ham,2.0,0.0,H,8.0,11.0,13.0,8.0,7,12,1.95,3.75,3.75,L,L,L,L,W,L,D,W,D,W,9,8,18,4641,LLLLW,LDWDW,3,8,-5.0,3.0,-5,-5
4641,2019-10-19,1920,Aston Villa,Brighton,2.0,1.0,H,14.0,6.0,10.0,12.0,8,9,2.35,3.4,3.0,W,D,L,D,L,W,L,D,D,L,9,18,15,4642,WDLDL,WLDDL,5,5,4.0,-6.0,-1,0
4642,2019-10-19,1920,Bournemouth,Norwich,0.0,0.0,D,12.0,9.0,12.0,17.0,11,6,1.72,4.2,4.2,L,D,W,W,L,L,L,L,W,L,9,12,18,4643,LDWWL,LLLWL,7,3,0.0,-8.0,5,4
4643,2019-10-19,1920,Chelsea,Newcastle,1.0,0.0,H,19.0,5.0,10.0,13.0,14,8,1.3,5.5,10.0,W,W,L,W,D,W,L,D,L,D,9,5,10,4644,WWLWD,WLDLD,10,5,9.0,-8.0,6,5
4644,2019-10-19,1920,Leicester,Burnley,2.0,1.0,H,16.0,9.0,8.0,11.0,14,12,1.57,4.0,6.0,L,W,W,L,W,W,D,W,D,L,9,9,7,4645,LWWLW,WDWDL,9,8,8.0,-2.0,2,1
4645,2019-10-19,1920,Tottenham,Watford,1.0,1.0,D,12.0,5.0,12.0,18.0,11,3,1.4,5.0,7.5,L,W,L,W,D,D,L,L,D,D,9,3,14,4646,LWLWD,DLLDD,7,3,0.0,-13.0,8,4
4646,2019-10-19,1920,Wolves,Southampton,1.0,1.0,D,12.0,9.0,12.0,13.0,10,7,1.8,3.6,4.5,W,W,D,L,L,L,L,L,W,D,9,18,17,4647,WWDLL,LLLWD,7,4,0.0,-4.0,3,3
4647,2019-10-19,1920,Crystal Palace,Man City,0.0,2.0,A,8.0,24.0,10.0,9.0,14,16,12.0,7.0,1.22,W,W,D,L,W,L,W,W,L,W,9,18,1,4648,WWDLW,LWWLW,10,9,-2.0,15.0,-2,1
4648,2019-10-20,1920,Man United,Liverpool,1.0,1.0,D,6.0,17.0,9.0,6.0,9,24,5.25,3.8,1.65,L,D,L,W,D,W,W,W,W,W,9,2,4,4649,LDLWD,WWWWW,5,15,-3.0,11.0,-15,-10
4649,2019-10-21,1920,Sheffield United,Arsenal,1.0,0.0,H,7.0,12.0,6.0,12.0,9,15,3.9,3.75,1.9,D,L,W,L,D,W,D,W,D,D,9,18,6,4650,DLWLD,WDWDD,5,9,1.0,0.0,-6,-4
4650,2019-10-25,1920,Southampton,Leicester,0.0,9.0,A,9.0,25.0,22.0,8.0,8,17,3.1,3.4,2.3,D,L,L,L,W,W,L,W,W,L,10,17,9,4651,DLLLW,WLWWL,4,9,-13.0,17.0,-9,-5
4651,2019-10-26,1920,Man City,Aston Villa,3.0,0.0,H,27.0,14.0,9.0,13.0,19,11,1.08,11.0,26.0,W,L,W,W,L,W,W,D,L,D,10,1,18,4652,WLWWL,WWDLD,9,8,18.0,1.0,8,1
4652,2019-10-26,1920,Brighton,Everton,3.0,2.0,H,9.0,10.0,14.0,16.0,9,10,2.9,3.25,2.5,L,W,L,D,D,W,L,L,L,L,10,15,8,4653,LWLDD,WLLLL,5,3,-5.0,-6.0,-1,2
4653,2019-10-26,1920,Watford,Bournemouth,0.0,0.0,D,5.0,12.0,18.0,12.0,4,12,2.15,3.6,3.25,D,D,L,L,D,D,L,D,W,W,10,14,12,4654,DDLLD,DLDWW,3,8,-13.0,0.0,-8,-5
4654,2019-10-26,1920,West Ham,Sheffield United,1.0,1.0,D,12.0,8.0,9.0,7.0,12,12,2.1,3.5,3.5,L,L,D,W,D,W,D,L,W,L,10,18,18,4655,LLDWD,WDLWL,5,7,3.0,1.0,0,-2
4655,2019-10-26,1920,Burnley,Chelsea,2.0,4.0,A,11.0,23.0,15.0,12.0,12,17,4.5,4.0,1.72,L,W,D,W,D,W,W,W,L,W,10,7,5,4656,LWDWD,WWWLW,8,12,-4.0,11.0,-5,-4
4656,2019-10-27,1920,Newcastle,Wolves,1.0,1.0,D,6.0,13.0,14.0,13.0,8,11,3.0,3.1,2.55,L,W,L,D,L,D,W,W,D,L,10,10,18,4657,LWLDL,DWWDL,4,8,-8.0,0.0,-3,-4
4657,2019-10-27,1920,Arsenal,Crystal Palace,2.0,2.0,D,14.0,10.0,14.0,12.0,15,14,1.45,4.75,6.5,L,W,D,W,D,L,W,W,D,L,10,6,18,4658,LWDWD,LWWDL,8,7,0.0,-2.0,1,1
4658,2019-10-27,1920,Liverpool,Tottenham,2.0,1.0,H,19.0,13.0,7.0,14.0,25,12,1.5,4.33,6.5,D,W,W,W,W,D,L,W,L,W,10,4,3,4659,DWWWW,DLWLW,13,7,12.0,-1.0,13,6
4659,2019-10-27,1920,Norwich,Man United,1.0,3.0,A,10.0,9.0,20.0,10.0,7,10,4.33,4.0,1.75,D,L,L,L,W,D,L,D,L,W,10,18,2,4660,DLLLW,DLDLW,4,5,-10.0,-1.0,-3,-1
4660,2019-11-02,1920,Bournemouth,Man United,1.0,0.0,H,13.0,9.0,12.0,11.0,13,13,3.25,3.6,2.15,D,D,L,D,W,W,D,L,D,L,11,12,2,4661,DDLDW,WDLDL,6,5,1.0,-2.0,0,1
4661,2019-11-02,1920,Arsenal,Wolves,1.0,1.0,D,15.0,14.0,15.0,14.0,16,12,1.75,3.75,4.75,D,L,W,D,W,D,D,W,W,D,11,6,18,4662,DLWDW,DDWWD,8,9,0.0,0.0,4,-1
4662,2019-11-02,1920,Aston Villa,Liverpool,1.0,2.0,A,15.0,21.0,15.0,8.0,11,28,9.0,5.0,1.33,L,W,W,D,L,W,D,W,W,W,11,18,4,4663,LWWDL,WDWWW,7,13,0.0,13.0,-17,-6
4663,2019-11-02,1920,Brighton,Norwich,2.0,0.0,H,11.0,10.0,14.0,22.0,12,7,1.72,4.2,4.33,W,L,W,L,D,L,D,L,L,L,11,15,18,4664,WLWLD,LDLLL,7,1,-3.0,-12.0,5,6
4664,2019-11-02,1920,Man City,Southampton,2.0,1.0,H,29.0,10.0,10.0,24.0,22,8,1.07,13.0,23.0,W,W,L,W,W,L,D,L,L,L,11,1,17,4665,WWLWW,LDLLL,12,1,19.0,-14.0,14,11
4665,2019-11-02,1920,Sheffield United,Burnley,3.0,0.0,H,11.0,11.0,7.0,18.0,13,12,2.25,3.2,3.4,D,W,D,L,W,L,L,W,D,W,11,18,7,4666,DWDLW,LLWDW,8,7,4.0,-7.0,1,1
4666,2019-11-02,1920,West Ham,Newcastle,2.0,3.0,A,14.0,9.0,12.0,16.0,13,9,1.75,3.8,4.5,D,L,L,D,W,D,L,W,L,D,11,18,10,4667,DLLDW,DLWLD,5,5,2.0,-7.0,4,0
4667,2019-11-02,1920,Watford,Chelsea,1.0,2.0,A,6.0,25.0,20.0,13.0,5,20,5.0,4.33,1.61,D,D,D,L,L,W,W,W,W,L,11,14,5,4668,DDDLL,WWWWL,3,12,-14.0,12.0,-15,-9
4668,2019-11-03,1920,Crystal Palace,Leicester,0.0,2.0,A,10.0,27.0,14.0,8.0,15,20,3.5,3.4,2.1,D,L,W,W,D,W,W,L,W,W,11,18,9,4669,DLWWD,WWLWW,8,12,-4.0,19.0,-5,-4
4669,2019-11-03,1920,Everton,Tottenham,1.0,1.0,D,11.0,14.0,17.0,15.0,10,12,2.7,3.4,2.6,L,W,L,L,L,L,D,L,W,L,11,8,3,4670,LWLLL,LDLWL,3,4,-6.0,-1.0,-2,-1
4670,2019-11-08,1920,Norwich,Watford,0.0,2.0,A,10.0,8.0,24.0,20.0,7,5,2.7,3.5,2.55,L,L,D,L,L,L,D,D,D,L,12,18,14,4671,LLDLL,LDDDL,1,3,-14.0,-12.0,2,-2
4671,2019-11-09,1920,Chelsea,Crystal Palace,2.0,0.0,H,27.0,10.0,13.0,16.0,23,15,1.33,5.0,10.0,W,W,W,W,W,L,D,L,W,W,12,5,18,4672,WWWWW,LDLWW,15,7,14.0,-6.0,8,8
4672,2019-11-09,1920,Burnley,West Ham,3.0,0.0,H,14.0,14.0,18.0,15.0,12,13,2.25,3.5,3.1,L,L,L,W,D,L,D,L,L,D,12,7,18,4673,LLLWD,LDLLD,4,2,-4.0,-1.0,-1,2
4673,2019-11-09,1920,Newcastle,Bournemouth,2.0,1.0,H,11.0,14.0,17.0,14.0,12,16,2.55,3.25,2.8,W,D,L,W,L,W,D,D,L,D,12,10,12,4674,WDLWL,WDDLD,7,6,-6.0,0.0,-4,1
4674,2019-11-09,1920,Southampton,Everton,1.0,2.0,A,11.0,13.0,26.0,18.0,8,11,2.9,3.3,2.45,L,L,D,L,L,D,L,W,L,L,12,17,8,4675,LLDLL,DLWLL,1,4,-15.0,-5.0,-3,-3
4675,2019-11-09,1920,Tottenham,Sheffield United,1.0,1.0,D,15.0,12.0,16.0,8.0,13,16,1.57,4.0,6.0,D,L,D,L,W,W,D,W,D,L,12,3,18,4676,DLDLW,WDWDL,5,8,-1.0,4.0,-3,-3
4676,2019-11-09,1920,Leicester,Arsenal,2.0,0.0,H,29.0,15.0,8.0,17.0,23,17,2.0,3.75,3.5,W,W,W,L,W,D,D,L,W,D,12,9,6,4677,WWWLW,DDLWD,12,6,21.0,-2.0,6,6
4677,2019-11-10,1920,Man United,Brighton,3.0,1.0,H,12.0,12.0,12.0,17.0,13,15,1.6,3.75,6.5,L,W,D,L,D,W,W,L,W,L,12,2,15,4678,LWDLD,WWLWL,5,9,0.0,-5.0,-2,-4
4678,2019-11-10,1920,Wolves,Aston Villa,2.0,1.0,H,16.0,16.0,15.0,17.0,13,11,1.9,3.5,4.2,D,D,D,W,W,L,L,W,W,D,12,18,18,4679,DDDWW,LLWWD,9,7,1.0,-1.0,2,2
4679,2019-11-10,1920,Liverpool,Man City,3.0,1.0,H,24.0,30.0,9.0,13.0,31,25,2.5,3.6,2.62,W,W,D,W,W,W,W,W,L,W,12,4,1,4680,WWDWW,WWWLW,13,12,15.0,17.0,6,1
